"name","address","phone","rating","number_of_reviews"
"Dr. Shaswath - Best Teeth Braces Specialist in Kuvempu Nagar Mysore","No.830, 830/1, 830/2, Newkantharaja Urs Road T.K. Layout, Kuvempu Nagara, Mysuru, Karnataka 570023, India","073289 03499","No rating available","No reviews"
"Bk Dental Clinic","12th main, 5th Cross Road, Saraswathipuram, Mysuru, Karnataka 570009, India","077950 76422",5,1
"Dr. Chandrika's Clinic","174/1, 11th Main Road, Saraswathipuram, Mysuru, Karnataka 570009, India","N/A",3.8,4
"DENTO DESIGNS","#448 SBN COMPLEX M.G.ROAD, Chavadi St, Agrahara, Fort Mohalla, Mysuru, Karnataka 570004, India","N/A",5,1
"Endo Care Dental Clinic","Agrahara, 1, Veerashiva Anathalaya Building, Circle, 5th Cross Rd, Agrahara, Ramachandra Agrahara, Mysuru, Karnataka 570004, India","N/A",4,2
"Ortho lab Mysore","8J5W+PFC, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570001, India","099808 95417",5,1
"Ora dental care mysore","99, D Devaraj Urs Rd, above CARAT LANE showroom, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570001, India","080957 90359",4.9,330
"Dr Arun Kumar K S, Dental surgeon","1st floor, Adichunchanagiri Road, near appolo hospital, M-Block, Kuvempu Nagara, Mysuru, Karnataka 570023, India","N/A","No rating available","No reviews"
"Dr Nalini G Kulkarni - DENTIST","No. 38, Near KUVEMPUNAGAR COMPLEX, Opp. More Supermarket, Udayaravi Rd, next to Cadabams, Kuvempu Nagar 1st Stage, Kuvempu Nagara, Mysuru, Karnataka 570023, India","089706 32985",5,2
"Dr. Deepa's Dental Care and Implant Centre","627/B, First Floor, New Kantharaj Urs Rd, A & B Block, Kuvempu Nagara, Mysuru, Karnataka 570022, India","N/A",4.3,3
"Sharan Dental Clinic","MIG 27,1st Floor, Nrupatunga Rd, Kuvempu Nagar 1st Stage, Kuvempu Nagara, Mysuru, Karnataka 570023, India","0821 256 1222",3,14
"Sarathi Dental Clinic","Udayaravi Rd, E&F Block, Kuvempu Nagar 1st Stage, Kuvempu Nagara, Mysuru, Karnataka 570023, India","0821 246 0461",4.3,64
"V k Enterprises","Subbarayanakere, Shivarampet, Mysuru, Karnataka 570001, India","N/A","No rating available","No reviews"
"Shree Dental Clinic","building, Maruthi Temple Rd, Gangothri Layout, Mysuru, Karnataka 570009, India","076195 18795","No rating available","No reviews"
"Shree Sanjeevani Multispeciality Dental Clinic Implants and Laser center","no.449, 1st floor, sthira building, New Kantharaj Urs Rd, TK Layout, Mysuru, Karnataka 570023, India","097708 81765",5,6
"Anvi Dental Clinic Kuvempu Nagar Root canal Best Dentist for Cap crownMysuru","682, M Block, Nrupatunga Rd, 2nd Stage, Kuvempu Nagar 1st Stage, Kuvempu Nagara, Mysuru, Karnataka 570023, India","094482 40070",5,20
"B.k Dental Clinic","Namana Park, opposite D block, Vivekanandana Nagar, Kuvempu Nagar 1st Stage, Kuvempu Nagara, Mysuru, Karnataka 570023, India","094481 01254","No rating available","No reviews"
"NAYANA ADVANCED DENTAL CARE","71, Sahukar Chennaiah Road, Kuvempunagara North, Tonchikoppal 4th Stage, Saraswathipuram, Mysuru, Karnataka 570009, India","094817 87791",5,2
"Dr.N. Chandrabhan Singh","8M72+RX8, B N Rd, behind Chamundeshwari Talkies, Devaraja Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India","N/A","No rating available","No reviews"
"The Dental Centre","shop number 28, and 29, MUDA Shopping Complex, Block A, Ramakrishnanagar, Mysuru, Karnataka 570023, India","0821 254 2071",5,3
"TruShine dental clinic","1788 MBM Lehar complex, Sayyaji Rao Rd, Devaraja Mohalla, Mandi Mohalla, Mysuru, Karnataka 570021, India","N/A",5,1
"Kalanara Multi-Speciality Dental Clinic","976/A, Main Rd, Aravinda Nagar, Vivekananda Nagar, Mysuru, Karnataka 570023, India","N/A",4.6,13
"SMILE PLEASE STUDIO","7JGG+82M, High Tension Line Rd, Aravinda Nagar, Vivekananda Nagar, Mysuru, Karnataka 570023, India","N/A","No rating available","No reviews"
"Shree Siddhivinayak Cosmetic and Dental implant Clinic","Office No.: 15, 1st Floor, Viraj Corner, Canada Corner, Near BSNL Telephone Exchange, Sharanpur Road., Church Rd, Sharanpur, Nashik, Maharashtra 422005, India","0253 231 2378",2,1
"Dr. Patani's Smile N Braces Dental & Orthodontic Clinic","103, Ronak Heights, Sharanpur Rd, behind Kulkarni Garden, near Soni Paithani sarees, Racca Colony, Jejurkar Wadi, Sharanpur, Nashik, Maharashtra 422002, India","094222 70051",4.9,42
"Care32 Dental & Implant Centre","Suyojit Modern Point, Sharanpur Rd, opp. Police Pared Ground, Old Pandit Colony, Police Staff Colony, Nashik, Maharashtra 422005, India","097649 81926",4.9,972
"Dr. Bonde's Dental Speciality Clinic","Govind Bhuvan Appartments, 1st Floor, Panchavati Karanja Rd, above Mahalaxmi electronic shop, Panchavati Karanja, Panchavati, Nashik, Maharashtra 422003, India","0253 258 2638",5,1030
"Child Smile Care","Woodland Tower, Gangapur Rd, Old Gangapur Naka, Shreerang Nagar, Nashik, Maharashtra 422013, India","0253 257 8768",4.9,16
"Omkar Teeth Care","11, Amrut Sagar Park, Kathe Ln, Near Bankar Chowk, Dwarka, Nashik, Maharashtra 422011, India","0253 250 1983","No rating available","No reviews"
"Parth Dental Clinic","Flat no 3, ratnaprabha residency, opp. Raje shivaji margadarshan kendra, near SSK hotel, Tidke Colony, Nashik, Maharashtra 422002, India","099756 41693",4.9,59
"Dugad Dental Implant Institute & Research Centre","Ground Floor,Lele Hospital Building,Opp.Soni Paithani,Near Kulkarni, Garden,Sharanpur Road,, Racca Colony, Sharanpur, Nashik, Maharashtra 422002, India","098505 52460",3.7,7
"Kalakiran Dental Clinic","KALAKIRAN Dental clinic , A-3, Chandrakiran park appartment, New Era School road, Mumbai Naka, Govind Nagar, Nashik, Maharashtra 422009, India","095527 98826",4.9,119
"Elegant Dental Clinic","Shop no 12, First Floor, Laxmi Vihar Complex, beside Sant Nirankari Satsang Bhavan, Mumbai Naka, Govind Nagar, Nashik, Maharashtra 422009, India","099757 11277",5,71
"32 Sparkles Dental Clinic","Hirawadi Rd, near janakalyan bank, Adgaon Naka, Panchavati, Nashik, Maharashtra 422003, India","099707 83582",5,101
"Advanced Orthodontic Clinic","Shop No. 103, Business Court, Ring Road, Radha Vasudev Batavia Nagar, Govind Nagar, Nashik, Maharashtra 422009, India","098601 65773",4,2
"Dr.Bonde's Dental Speciality Clinic","1st Floor, H.P.T, Dattatray Darshan, College Rd, opp. Vijan Hospital & Big Bazar, Yashogandha Society, Patil Colony, Canada Corner, Nashik, Maharashtra 422005, India","098812 57003",5,975
"Smile Architect Orthodontic Center and Dental Clinic","3 Aradhana Bunglow, Patil Lane 4 , Vidhya Vikas Circle, Gangapur Road, Pumping Station Rd, Yashwant Colony, Patil Colony, Canada Corner, Nashik, Maharashtra 422003, India","095454 55007",4.9,356
"Dr. Aphale's Dental Concepts in Nashik","1st Floor, Parijat Sahnivas, opp. Patanjali Store, Samartha Nagar, Parijat Nagar, Nashik, Maharashtra 422005, India","088068 07124",5,141
"Shree Siddhivinayak Cosmetic & Dental Implant Clinic","Renuka Plot no 45, Siddhivinayak Township, Behind Ayodhya Nagari, Amrutdham, Nashik, Maharashtra 422006, India","098901 54498",4.4,8
"Jeevak Dental Clinic & Implant Center","Sinhastha Nagar, 1, chandrabhaga Apt, Ganesh nagar road, near swimming tank, Cidco, Nashik, Maharashtra 422009, India","077208 60555",4.7,3
"Aashay Dental Colinic","1st Floor, Nashik Road, Bytco Point, Above Sanjay Medical Stoar, Bytco Point, Lokhand Bazar, Koknipura, Nashik, Maharashtra 422214, India","0253 246 7045","No rating available","No reviews"
"Chauhan Prithviraj Jaisingrao Dr","208, Sona Shopping Centre, 60 Ft Road, Ganjmal, Ganjmal, Lokhand Bazar, Koknipura, Nashik, Maharashtra 422001, India","0253 250 9214","No rating available","No reviews"
"Bhat Dr Raghvendra","8, Hal Bunglow, Cidco, Near Sbi, Cidco, Lokhand Bazar, Koknipura, Nashik, Maharashtra 422008, India","0253 237 4657",5,1
"Umrao Dental Clinic","behind kokni darbar hotel, Koknipura, Nashik, Maharashtra 422001, India","0253 250 7692",5,3
"Dental Clinic & Implant Centre","2Q2R+MHV, Bhadrakali, Koknipura, Nashik, Maharashtra 422001, India","N/A","No rating available","No reviews"
"Asher Aesthetics & Multispeciality Dental Clinic","1089, 2nd Floor, Dighe Building, Main Rd, opp. Chitramandir Talkies, Shalimar, Nashik, Maharashtra 422001, India","N/A","No rating available","No reviews"
"Deep Dental & Orthodontic clinic","Shop no.4, patel chambers, near, Zilla Parishad Rd, Mohan Nagar, Nashik, Maharashtra 422001, India","0253 250 6400",4.5,74
"Abbad Dental Clinic and Implant Centre","2055, dahi pool nehru chowk, next to Sandeep kutt piece, Naikwadi Pura, Panchavati, Nashik, Maharashtra 422001, India","097134 35111",4.9,174
"Dr. Milind Rajpathak","Near Central Bank, Dhumal Point, 2Q3P+WWW, Tilak Path, Ambedkar Colony, Raviwar Karanja, Panchavati, Nashik, Maharashtra 422001, India","094222 56962","No rating available","No reviews"
"दातांचा दवाखाना डॉ. अनिल वि. रुपवते","Mirajkar Nagar, Dr.Homi Bhabha Nagar, Nashik, Maharashtra 422011, India","N/A","No rating available","No reviews"
"Glowdent Dental and Aesthetic Clinic - Dentist Near Me | Dental Clinic | Skin and Hair Care Clinic","Shop No.1, Paradise Ocean, Wadala Rd, near Sahyadri Hospital, Mirajkar Nagar, Dr.Homi Bhabha Nagar, Nashik, Maharashtra 422011, India","093702 68662",5,3
"KIDS’ DENTISTREE (Exclusive Pediatric Dental Clinic)","61, Pradhan Park, 3rd floor, M.G.Road, Mahatma Gandhi Rd, Ashok Stambh, Raviwar Karanja, Panchavati, Nashik, Maharashtra 422001, India","077096 93217",5,28
"Kankaria's Multispeciality Dental Clinic","118, Abhankar Towers, M G road, Ashok Stambh, Raviwar Karanja, Panchavati, Nashik, Maharashtra 422001, India","0253 231 1049","No rating available","No reviews"
"Rutu-Dent","38, 2 nd floor, Pradhan Park, Mahatma Gandhi Rd, Ashok Stambh, Raviwar Karanja, Panchavati, Nashik, Maharashtra 422001, India","0253 257 7389",4.8,17
"Aditya ortho store","7/8, 1st Floor, Meher Signal, Sindekar Plaza, Dawa Bazar, Gole Colony, Nashik, Maharashtra 422002, India","0253 231 7860",4.3,7
"Dr. Abhijit Tambe Best Prosthodontist/ Dr. Renu best Dentist in Nashik @ Pearls 32 and You dental clinic, Ashokstambh","202; Space Cosmos Tower, Ashok Stambh, Raviwar Karanja, Panchavati, Nashik, Maharashtra 422001, India","0253 231 4231",4.9,25
"Astha Dental Clinic(Dr.Sonal Chaudhary)","Astha clinic, samraat nucleus complex, ground floor, Besides sanskriti hospital, Bhabha Nagar, Mumbai Naka, Mirajkar Nagar, Dr.Homi Bhabha Nagar, Nashik, Maharashtra 422011, India","080076 65040",5,42
"Sarthak Health Clinic","Mumbai Naka Tajane Anusaya Complex Shop No 5 to 8 Above SBI insurance, Mumbai Naka, Renuka Nagar, Nashik, Maharashtra 422001, India","0253 259 3344",4.4,27
"Dr. Shekhar Shashi Amale | Say Maternity Hospital","Shy Maternity Hospital, behind Kalika Mandir, Matoshree Nagar, Nashik, Maharashtra 422002, India","N/A",4.3,6
"Dr. Ravikiran Patil","6, 1st Floor, Anant Chambers, near Ganapati Mandir, Ashok Stambh, Shivaji Nagar, Nashik, Maharashtra 422002, India","0253 257 9797","No rating available","No reviews"
"Dr Rahul Ahirrao MDS (Maxillofacial Prosthodontist & TMJ Disorder - Cranio-facial pain treatment specialist)","Suyojit City Centre, G-8, below Shatabdi Hospital, Mumbai Naka, Renuka Nagar, Nashik, Maharashtra 422002, India","096040 44982",4.4,68
"Center for artificial eye, ear, nose & Jaw | Prosthetic Dental","Shop no G-8, Suyojit city centre, below Shatabdi Hospital, Mumbai Naka, Renuka Nagar, Nashik, Maharashtra 422002, India","077985 30423",5,2
"Noble Smile Multispeciality Dental Clinic Implant & Braces centre ( Branch 1)","BRANCH 1 : Shope 1, Nayantara co. Op. Society, Mumbai Naka, Bhagwant Nagar, Dr.Homi Bhabha Nagar, Nashik, Maharashtra 422003, India","090116 77735",5,43
"Kalpadant Implant & Cosmetic Dental Clinic","617, 6th floor, Lotus Capital Ashok Stambh, road, Ashok Stambh, Gangapur, Nashik, Maharashtra 422002, India","096898 93544",5,10
"Dr. Nakod's Dental Clinic","F1, 'B' Wing, Bus Stand, Suyojit City Centre, Landmark:, opp. Mahamarg CBS Office, Mumbai Naka, Govind Nagar, Nashik, Maharashtra 422002, India","0253 250 0224",3.8,5
"DR. PAHILWANS DENTAL CLINIC","SHOP NO3, Varunaditya Apartment, APT RD, Bhabha Nagar, Mumbai Naka, Bhagwant Nagar, Dr.Homi Bhabha Nagar, Nashik, Maharashtra 422011, India","086239 55514",5,45
"Nirmal Dental And Ayurved Clinic","Nirmal Dental Clinic 201, Business park, bus stand, next to Mahamarg, opposite to shatabdi hospital, Mumbai Naka, Gaikwad Nagar, Nashik, Maharashtra 422001, India","080 4807 3692",4.9,34
"Asher Aesthetics & Multispeciality Dental Clinic","2nd Floor, Suyojit Modern, Sharanpur Rd, above Soni Jewellers, Old Pandit Colony, Police Staff Colony, Nashik, Maharashtra 422002, India","0253 231 9774",4.2,10
"Orasurge Dental Clinic","G-9, Ground Floor, Suyojit Modern Point, Sharanpur Rd, opp. Police Pared Ground, Old Pandit Colony, Police Staff Colony, Nashik, Maharashtra 422002, India","090969 70797",5,4
"Suryawanshi Eye & Dental Hospital","Shri Hari Narayan Kute Marg, opp. Nehete Hospital, next to Sopan Hospital, Mumbai Naka, Matoshree Nagar, Nashik, Maharashtra 422002, India","093594 92403",4.8,39
"Dr. Ganorkar Hospital","XQQJ+7RH Bus Stand, Mumbai Naka Cir, behind Mahamarg, Mumbai Naka, Gaikwad Nagar, Nashik, Maharashtra 422001, India","N/A",3.6,118
"Dr. Soham Doshi","3rd Floor, NIROG Superspeciality Clinic, Shreeji Bizz World, Kathe Ln, above Kotak Mahindra bank, opposite Domino's Pizza, signal, Dwarka, Nashik, Maharashtra 422001, India","072767 71234",4.9,361
"Royals Dental Clinic and Implant Center in Nashik","B1, Shri Ramkunj Housing Society, Takli Rd, Dwarka, Nashik, Maharashtra 422011, India","089897 32751",4.8,36
"RAIPUR DENTAL CLINIC","ground floor, Dixit Complex Shastri bazar road Baijnathpara landmark : Evergreen chowk, to, Malviya Rd, Shastri Market, Raipur, Chhattisgarh 492001, India","N/A",4.7,3
"Rathor Dental Hospital","FF03, First Floor, Suraj tower, Main Road, Bhawani Patna, Ramsagar Para, Jawahar Nagar, Raipur, Chhattisgarh 492001, India","099071 33106",4.8,25
"Chirayu Superspeciality Dental Clinic","Modern Complex, Road, beside Agrawal Mithaiwala Sweets, Moti Bagh, Shastri Market, Raipur, Chhattisgarh 492001, India","077147 00297",4.9,242
"Smile N Shine Dental Clinic","Near Muslim hall, beside Sirat Maidan, Baijnathpara, Shastri Market, Raipur, Chhattisgarh 492001, India","099938 60207",4.9,42
"Chhattisgarh","Chhotapara Rd, near City, Kotwali Chowk, Janta Colony, Raipur, Chhattisgarh 492001, India","077140 16000",4.5,215
"Malik Implant Centre","Shop No. 4, Block C, Vineet Estates New Shantinagar, P.O, Geetanjali Colony, Shankar Nagar, Raipur, Chhattisgarh 492007, India","077140 57490",4.1,59
"DENTAGLAM","First Floor, Thakur Singh Bhawan Acharya Narendra Dubey Marg, Chowk, Maitri Nagar, Sunder Nagar, Raipur, Chhattisgarh 492001, India","078691 78309",4.9,57
"Dr. Khemka Dental Clinic","Shop No. 2&3, AT Plaza, Geetanjali Colony, Shankar Nagar, Raipur, Chhattisgarh 492001, India","098271 62237",4.1,17
"Royal Smile Dental Care","Sanjay Nagar Main Road, Infront of govt school Sanjay nagar main Road Raipur, Sanjay Nagar, Tikrapara, Raipur, Mathpurena, Chhattisgarh 492001, India","074158 19445",3.7,3
"Raipur Dental Clinic","J/17 Street 1 Shri ram nagar - Phase 1, Khamhardeeh sarover, opp. TV. Tower, P.O, Shankar Nagar, Raipur, Chhattisgarh 492007, India","098272 04002",5,3
"City Dental Care & Implant Centre","12, Avanti Vihar, Shankar Nagar, Raipur, Chhattisgarh 492001, India","099816 96948",3.2,11
"Bardia Dental Care","Shop No: 105, First Floor, Lalganga Business Park, New Dhamtari Rd, Navjeevan Society, Pachpedi Naka, Raipur, Mathpurena, Chhattisgarh 492001, India","077149 05234",4.8,105
"CITY DENTAL CARE & IMPLANT CENTRE","Opp. Ashoka Ratan,(Gate No. 2), Khamardih Extension, Vidhan Sabha Road, VIP Estate, Shankar Nagar, Raipur, Chhattisgarh 492001, India","077140 59205",4.4,9
"Dr Khan Dental Care","Main Road, Chhotapara Chhotapara, Janta Colony, Station Road, Moudhapara, Raipur, Chhattisgarh 492001, India","077122 26264",1,1
"SITA DENTAL CARE & IMPLANT CENTER","7J2H+8WQ, Subhash Rd, Janta Colony, Station Road, Moudhapara, Raipur, Chhattisgarh 492002, India","N/A","No rating available","No reviews"
"Dr.ankit Khandelwal","Main Rd, Bhawani Patna, Ramsagar Para, Jawahar Nagar, Raipur, Chhattisgarh 492009, India","080588 12220",5,1
"Dr. R. K. Khandelwal","6JXJ+2H8, Moudhapara, Raipur, Chhattisgarh 492009, India","N/A",5,1
"Apurv Dental Traders","Malviya Road, near City Kotwali, Janak Bada, Moudhapara, Raipur, Chhattisgarh 492001, India","077125 46270","No rating available","No reviews"
"Dr Khemka Dental Clinic & Implant Centre | Best Dental Clinic in Raipur","Satyanarayan Dharamshala, Station Rd, Nahar Para, Station Road, Moudhapara, Raipur, Chhattisgarh 492001, India","098271 62237",4.5,8
"KHUSHI DENTAL CARE","6JVJ+V3M, Titya Para Rd, Badaipara, Ramsagar Para, Jawahar Nagar, Raipur, Chhattisgarh 492001, India","N/A",5,1
"DR.AJAY SINGH THAKUR(THAKUR DENTAL CLINIC)","STATION, Telghani Naka Rd, Sahupara, Raipur, Chhattisgarh 492001, India","077140 45454",5,3
"Om Sai Dental Care","7/110 near GANGA MEDICAL STORES Opposite LAXMI MEDICAL HALL, opposite Axis Bank Branch, Sukrawari Bazar, Gudhiyari, Raipur, Chhattisgarh 492001, India","097708 45500","No rating available","No reviews"
"Dr. Sunita Chhatre","Labh Complex, Chowk, near Dakshin Swad Hotel, Fafadih, Raipur, Chhattisgarh 492001, India","077140 60414",2.3,3
"Chhatre Dental Clinic - Multi speciality Cosmetic, Dental Clinic","Labh Complex, Fafadih Chowk, near Dakshin Swad Hotel, Sai Vihar Colony, Raipur, Chhattisgarh 492001, India","077140 60414",3,2
"आर.एम.होम्योपैथिक सेन्टर","Devendra Nagar, Raipur, Chhattisgarh 492001, India","N/A","No rating available","No reviews"
"Tiwary Dental Clinic","Tatyapara, Nayapara, Raipur, Chhattisgarh 492001, India","077140 33605",3.3,3
"Om Dental Hospital and Implant centre","H. No 117, 117, Samta Colony Main Rd, near IDBI bank, opposite Punjab National Bank, Samta Colony, Raipur, Chhattisgarh 492001, India","083059 48040",3.9,10
"RheumaDent Speciality Care | Multi-speciality Dental Clinic | Rheumatologist In Raipur | Endodontics","Shop No 12, Nagdev Plaza, opposite City hospital, Kutchery Chowk, Devendra Nagar, Raipur, Chhattisgarh 492001, India","N/A",4.9,17
"Dr.rajendre Parganih","shop no 5, Great Eastern Rd, Moudhapara, Raipur, Chhattisgarh 492001, India","074892 05244","No rating available","No reviews"
"Samyag Dental Clinic","Azad Chowk Rd, opposite Sai Mandir, Aminpara, Raipur, Chhattisgarh 492001, India","072240 11183",4.9,64
"Prime Dental Care - Best Dental Clinic in Raipur | Best Dentist in Raipur","Lig 16, opposite Bharat Mata Chowk, Gudhiyari, Raipur, Chhattisgarh 492001, India","091607 34567",4.9,44
"फतनानी पॉली क्लिनिक","6JRC+8FH, Great Eastern Rd, Ganjpara, Gurunanak Chowk, Jawahar Nagar, Raipur, Chhattisgarh 492001, India","N/A","No rating available","No reviews"
"Dr. Vivek Agrawal","Redaint Dental Clinic Gurughasidas Complex, G E Road, Amapara Near Vishal Nigha Math &, opposite R D Tiwari School, Aminpara, Raipur, Chhattisgarh 492001, India","N/A","No rating available","No reviews"
"SRIJAN DENTAL CLINIC","7J6R+H48, near parag hospital, R.V.H. Colony, Jagriti Nagar, Fafadih, Raipur, Chhattisgarh 492004, India","N/A","No rating available","No reviews"
"Pathak Dental Hospital","PATHAK DENTAL HOSPITAL, OPPOSITE LANE NO 4, Main Rd, R.V.H. Colony, Jagriti Nagar, Fafadih, Raipur, Chhattisgarh 492001, India","095758 00235",5,5
"Shashwat Eye & Dental Hospital- Opthalmologist Doctor, Dentist In Raipur","Survey No -214/04, Devendra Nagar Main Rd, opposite New Timber Market Road, Sector-3, Jagriti Nagar, Paras Nagar, Raipur, Chhattisgarh 492001, India","081034 22230",5,1
"Dr. Tamrakar's Dental Clinic","R.C. Tower, opposite to Bus Stand, Pandri, Raipur, Chhattisgarh 492001, India","093994 43074",4.9,73
"B.N Dental Care","Kankalipara, Raipur Dham, Kalyani Bhawan, near Kankali Talab, Budhapara, Raipur, Chhattisgarh 492001, India","N/A",4.4,5
"Dr Sana Khan","Main Rd, near Masjid, Chhotapara, Raipur, Chhattisgarh 492001, India","077122 26264",4.8,32
"Flosswork Dental Clinic","6, South Ave, Geeta Nagar, Choubey Colony, Samta Colony, Raipur, Chhattisgarh 492001, India","083540 88822",4.8,40
"BAJAJ DENTAL CLINIC","BAJAJ DENTAL CLINIC, CHOWK, Lakhe Nagar, Raipur, Chhattisgarh 492001, India","N/A",4,4
"Visharad Dental and Maxillofacial Clinic","Visharad Hospital, V Y City Centre, opposite Subhash Stadium, Moti Bagh, Raipur, Chhattisgarh 492001, India","N/A",5,1
"Kumra Dental Solutions","C-77, Sector 2, Jagriti Nagar, Devendra Nagar, Raipur, Chhattisgarh 492001, India","081205 66666",5,13
"Vrinda Dental Clinic & Implant Centre - Best Periodontist in Raipur | Dental Clinic in Raipur | Dentist in Raipur.","Opposite, Durga Mandir Rd, near Shyam talkies chowk, Budhapara, Raipur, Chhattisgarh 492001, India","N/A",4.7,49
"Sparsh Skin & Dental Clinic|Dr Vartika Sahu - Best Orthodontist Raipur|Dr Ajit Kumar - Skin Clinic In Raipur","2/2 Govind nagar, Bus Stand, near guru hotel, opposite pandari, Pandri, Raipur, Chhattisgarh 492001, India","097952 24877",5,50
"Super Speciality Clinic","beside Mahant College, opp. Rang mandir, Chottapara, Gandhi Chowk, Raipur, Chhattisgarh 492001, India","078288 29715",4.9,76
"Prestige Dental Care","First floor, 7A, Baban Prasad, Mishra Marg, near Naresh Trading, Ravi Nagar, Govind Nagar, Raipur, Chhattisgarh 492001, India","089620 81008",4.9,344
"Dr. Kalpana Jain","Chottapara, Gandhi Chowk, Raipur, Chhattisgarh 492001, India","N/A",5,3
"Dr Neeraj Chandraker - CFI Dental Clinic & Implant Center, Dentist In Raipur, Best Dentist, Dental Clinic, Raipur, CG","beside Axis bank, Pandri, Raipur, Chhattisgarh 492001, India","N/A",4.8,65
"Dr Vartika Sahu (Orthodontist in raipur)","Pandri Rd, Pandri, Raipur, Chhattisgarh 492001, India","N/A","No rating available","No reviews"
"Smiles Central","Kadru Main Rd, near Gate No. 1, Ashok Kunj, Kadru, Ashok Nagar, Ranchi, Jharkhand 834002, India","087976 71414",4.8,158
"Dr MEENAKSHI SINGH","9856+7MW, Kadru - Kumhartoli Rd, Harmu Housing Colony, Nizam Nagar, Hindpiri, Ranchi, Jharkhand 834002, India","0651 320 0701",3,8
"Meenakshi Netralaya","HI 157 Housing colony Harmu Near new AG Co-oprative colony, Nizam Nagar, Harmu, Ranchi, Jharkhand 834002, India","092047 97111",4.8,1564
"Perfect 32 Dental Clinic and Implant Centre","Sahajanand chowk, HI-208, Harmu Housing Colony, Tongritoli, Ranchi, Jharkhand 834002, India","062045 22473",4.9,263
"Dr Manmohan K Akhouri Dental Surgeon","985G+C99 HCG CURRIE ABDUR RAZZAQUE ANSARI CANCER INSTITUTE, Kanka, Irba, Ranchi, Jharkhand 834003, India","093083 55914",4.3,11
"Dr. Achala Raman","Lake View Apartment, Lake Road, near Seva Sadan, Upper Bazar, Ranchi, Jharkhand 834001, India","095468 95253",4.9,164
"Dr Bhagat’s Ideal Dental Clinic & Implant Centre (SINCE 1967)","Lalji Hirji Rd, near Madras Coffee House, Upper Bazar, Ranchi, Jharkhand 834001, India","082924 88812",4.5,212
"S.I. Multispeciality Dental Clinic","1, New Barhi Toli, Ranchi, Jharkhand 834001, India","088640 49676",4.2,6
"Esthetix Dental","107 , Phase I , Modi Heights, Ratu Rd, opposite All India Radio, Kumhartoli, Ranchi, Jharkhand 834001, India","076772 79977",4.9,145
"Shri Vinayak Dental Clinic , Ranchi","Pahari Mandir Lane, Kumhar Toli, G-01 Panchratna Apartment, Kumhartoli, Ranchi, Jharkhand 834001, India","075491 28355",4.9,105
"Dental Lifeline","Pradhan Tower, Harmu Rd, behind Lenskart.com, Kumhartoli, Ranchi, Jharkhand 834001, India","077628 88861",5,5
"Dental Square","1st Floor, Amravati Complex, (icici Bank), near BIT Extension Center, Lalpur, Ranchi, Jharkhand 834001, India","098869 82522",4.8,86
"Dr manmohan's Dental care & Oral Cancer Palliative Center","Shop No. F-1, Paras Complex, Oppositr Hotel Landmark, Circular Rd, P&T Colony, Lalpur, Ranchi, Jharkhand 834001, India","093083 55914",4.3,6
"Ranjan Dental Clinic and smile gallery","110, 1st floor, Sumati Vihar Complex, Karamtoli Rd, opposite adiwasi hostel, near jail, Nagra Toli, Ranchi, Jharkhand 834001, India","077629 23480",3.7,6
"DENTAL SOLUTIONS / Best Dental Clinic","2nd floor manjusha complex, Hazaribag Rd, near hotel arya, Lalpur, Ranchi, Jharkhand 834001, India","088040 28007",4.8,286
"Vyas Oral Care Multi-Speciality Dental clinic","Ground & First ( 1st ) Floor, Surmil Complex, Khunti - Chaibasa Rd, Singh More, Hatia, Ranchi, Jharkhand 834003, India","088251 70775",4.8,762
"D Mall Dental Clinic","Pratik Complex, S.N Ganguli Road, Mahatma Gandhi Main Rd, Upper Bazar, Ranchi, Jharkhand 834001, India","094307 31399",4.8,251
"Mydentist Ranchi","88V7+RP6, mydentist Road, Gaurishankar Nagar, Shyamali Colony, Doranda, Ranchi, Jharkhand 834002, India","099399 55656",5,1
"Dental care centre","3rd floor, Krishna mall, Central Ashoka Colony, Ashok Vihar, Ashok Nagar, Ranchi, Jharkhand 834001, India","090353 47904",4.8,66
"M.K. Advance Dental Hospital","Saima tower Ist floor, opposite Bharat petrol pump, Kadru, Ranchi, Jharkhand 834002, India","090367 41595",4.8,38
"DREAM SMILE DENTAL CLINIC","Num 201, 2nd Floor, HR Complex, Kadru - Kumhartoli Rd, Kadru, Ashok Nagar, Ranchi, Jharkhand 834002, India","099640 03750",4.9,133
"Dr Anubhav Kumar ( Dental and Oral implant surgeon)","The smile architects, first floor, Kumar Complex, opposite Road Number 5, Ashok Kunj, Harmu Housing Colony, Delatoli, Ranchi, Jharkhand 834002, India","N/A",5,4
"Just Clean Smiles Dental Clinic | Best Dentist in Ranchi","Sahajanand Chowk, C-103, near Patel park, Harmu Housing Colony, Delatoli, Ranchi, Jharkhand 834002, India","082103 41863",5,35
"Kashyap'S Dental Clinic in Ranchi","Skyline Mall,#4006,4th Floor, opp. Lal's Hospital, Kadru, Ranchi, Jharkhand 834002, India","091995 33383",4.9,69
"Maa Dental Clinic","Front of jp hyundai, Kadru, Ashok Nagar, Ranchi, Jharkhand 834002, India","082102 18446",4.8,155
